u64,(p139,0.033898305084745756)
u64,(p210,0.033898305084745756)
u64,(p178,0.033898305084745756)
u64,(p218,0.033898305084745756)
u64,(p153,0.023809523809523808)
u64,(p159,0.023809523809523808)
u64,(p212,0.023809523809523808)
u64,(p181,0.023809523809523808)
u64,(p197,0.02147629653197583)
u64,(p195,0.020879732739420936)
u64,(p196,0.020879732739420936)
u64,(p192,0.017582932833196573)
u64,(p195,0.010439866369710468)
u64,(p196,0.010439866369710468)
u64,(p192,0.008791466416598287)
u64,(p193,0.008178844056706651)
u64,(p192,0.007748378580037882)
u64,(p195,0.006959910913140312)
u64,(p196,0.006959910913140312)
u64,(p192,0.005860977611065525)
u64,(p197,0.0047725103404390725)
u64,(p195,0.0041759465478841875)
u64,(p196,0.0041759465478841875)
u64,(p192,0.0035165865666393157)
u64,(p124,0.002941657133518549)
u64,(p195,0.002609966592427617)
u64,(p196,0.002609966592427617)
u64,(p192,0.0021978666041495717)
u64,(p230,0.0020964360587002098)
u64,(p197,0.0020735734582597353)
u64,(p232,0.0017969451931716088)
u64,(p124,0.0017171509032213753)
u64,(p197,0.0015025894625070547)
u64,(p195,0.001342268533248489)
u64,(p196,0.001342268533248489)
u64,(p197,0.0012104192892417938)
u64,(p192,0.00113033139641978)
u64,(p195,2.982818962774419E-4)
u64,(p196,2.982818962774419E-4)
u64,(p192,2.5118475475995104E-4)
u64,(p193,2.3706794367265655E-4)
u64,(p192,2.2459068347935887E-4)
u64,(p195,1.295983411412334E-4)
u64,(p196,1.295983411412334E-4)
u64,(p192,1.0913544517156495E-4)
u64,(p195,9.391184140669088E-5)
u64,(p196,9.391184140669088E-5)
u64,(p192,7.908365592142388E-5)
u64,(p195,7.565120557761209E-5)
u64,(p196,7.565120557761209E-5)
u64,(p192,6.370627838114701E-5)
u65,(p118,0.6412213740458016)
u65,(p118,0.1603053435114504)
u65,(p118,0.042748091603053436)
u65,(p118,0.019913707268503153)
u65,(p229,0.015819209039548022)
u65,(p232,0.013559322033898306)
u65,(p229,0.007369196757553427)
u65,(p232,0.006316454363617224)
u66,(p197,0.005259063118774692)
u66,(p195,3.286914449234181E-4)
u66,(p196,3.286914449234181E-4)
u66,(p192,2.767927957249836E-4)
u67,(p230,0.8333333333333334)
u67,(p65,0.5714285714285714)
u67,(p102,0.5714285714285714)
u67,(p37,0.5714285714285714)
u67,(p232,0.35714285714285726)
u67,(p179,0.13559322033898305)
u67,(p209,0.13559322033898302)
u67,(p150,0.13559322033898302)
u67,(p138,0.13559322033898302)
u67,(p151,0.13559322033898302)
u67,(p139,0.13559322033898302)
u67,(p210,0.13559322033898302)
u67,(p178,0.13559322033898302)
u67,(p218,0.13559322033898302)
u67,(p153,0.09523809523809523)
u67,(p159,0.09523809523809523)
u67,(p212,0.09523809523809523)
u67,(p181,0.09523809523809523)
u67,(p230,0.07337526205450735)
u67,(p232,0.06289308176100632)
u67,(p230,0.021580959427796278)
u67,(p230,0.020964360587002098)
u67,(p197,0.01909004136175629)
u67,(p232,0.018497965223825387)
